"@LewisDixon	O"
"Trust	O"
"me	O"
"!	O"
"im	O"
"gonna	O"
"be	O"
"bringing	O"
"out	O"
"music	O"
"like	O"
"theres	O"
"no	O"
"tomorrow	O"
",	O"
"Be	O"
"doing	O"
"pure	O"
"blog	O"
"videos	O"
"&amp;	O"
"freestyle	O"
"videos	O"
"#Moesh	O"
"!	O"
""
"@joshHnumber1fan	O"
"its	O"
"okay	O"
"then	O"
"..	O"
"make	O"
"it	O"
"when	O"
"it	O"
"works	O"
":D	O"
""
"Asprin	O"
",	O"
"check	O"
",	O"
"cup	O"
"of	O"
"tea	O"
",	O"
"check	O"
",	O"
"pillow	O"
",	O"
"check	O"
",	O"
"warm	O"
"sleeping	O"
"bag	O"
",	O"
"check	O"
",	O"
"fanfiction	O"
"on	O"
"the	O"
"laptop	O"
",	O"
"check	O"
".	O"
"Time	O"
"to	O"
"settle	O"
"down	O"
"and	O"
"relax	O"
""
"@angelportugues	O"
"LMAO	O"
"!	O"
"When	O"
"is	O"
"tht	O"
"one	O"
"day	O"
"?:	O"
"P	O"
""
"The	O"
"Basic	O"
"Step	O"
"Before	O"
"You	O"
"Even	O"
"Start	O"
"Thinking	O"
"Of	O"
"Making	O"
"Your	O"
"...:	O"
"Keyword	O"
"research	O"
"is	O"
"a	O"
"well	O"
"known	O"
"subject	O"
",	O"
"yet	O"
"so	O"
"...	O"
"http://bit.ly/9XQgSr	O"
""
"today	O"
"just	O"
"does	O"
"n't	O"
"feel	O"
"like	O"
"a	O"
"Friday	O"
""
"RT	O"
"@Slijterijmeisje	O"
":	O"
"Kreeg	O"
"net	O"
"een	O"
"bruikbare	O"
"tip	O"
"van	O"
"iemand	O"
"die	O"
"vorige	O"
"week	O"
"was	O"
"begonnen	O"
"met	O"
"een	O"
"whiskydieet	O"
",	O"
"hij	O"
"was	O"
"nu	O"
"al	O"
"3	O"
"dagen	O"
"kwijt	O"
""
"You	O"
"Get	O"
"What	O"
"You	O"
"Give	O"
"~	O"
"Zac	B"
"Brown	I"
